"","Description","Lot.Batch..","Category","Sub.Category","Strain.Name","Strain.Type","d9.THC..mg.g.","THCA..mg.g.","d8.THC..mg.g.","CBD..mg.g.","CBDA..mg.g.","CBDV..mg.g.","CBN..mg.g.","CBG..mg.g.","CBC..mg.g.","CBCA..mg.g.","CBGA..mg.g.","Total.THC.mg.g","Total.CBD.mg.g","Terpinolene....","Eudesmol....","α.Pinene....","β.Pinene....","Camphene....","Eucalyptol....","Isopulegol....","Menthol....","Borneol....","Trans.Beta.Ocimene....","Cis.Beta.Ocimene....","Geraniol....","Linalool....","Guaiol....","α.Bisabolol....","α.Terpinene....","Citronellol....","δ.3.Carene....","Cis.Nerolidol....","Trans.Nerolidol....","Limonene....","P.Cymene....","γ.Terpinene....","α.Terpineol....","ß.Myrcene....","CaryophylleneOxide....","α.Humulene....","ß.Caryophyllene....","total_cannabinoidsMg.g","total_terpsMg.g"
"195","Trident CBD Tincture 30 mL","ALPTRI210715-TNT","Edible","Tincture","Trident","",2.77,0.493,NA,6.141,4.545,NA,0.122,0.108,0.168,0.349,0.17,3.20236,10.127,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.866,0
"196","Triple Cream OG 1 g Cartridge","THTPC210712","Concentrate","Cartridge","Triple Cream OG","",562.535,246.789,NA,1.095,1.422,NA,7.049,8.918,3.042,6.646,14.125,778.969,2.34209,0.0244,NA,0.09046,0.0333,0.013,NA,NA,NA,0.00302,0.0036,NA,NA,0.0975,NA,0.04692,0.00189,NA,NA,NA,0.02571,0.538,NA,0.00227,0.0174,0.23973,0.00503,0.57928,1.75632,851.621,3.47783
"197","Triple Cream OG 1 g Cartridge","THTPC200217","Concentrate","Cartridge","Triple Cream OG","Hybrid",590.959,149.783,NA,1.239,1.232,NA,7.661,15.233,4.855,7.128,14.941,722.319,2.31946,0.00902,NA,0.221,0.0545,0.0184,NA,NA,NA,NA,0.00544,NA,NA,0.14,NA,0.034,0.00202,NA,NA,NA,0.0379,0.767,NA,0.00186,0.00518,0.718,NA,0.524,1.62,793.031,4.15832
"198","Triple Cream OG 30 mL Tincture","THTPC220803-TNT","Edible","Tincture","Triple Cream OG","Indica",26.37715,10.96457,NA,0.09337,NA,NA,0.36484,0.42281,0.14849,0.33546,0.60352,35.9931,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39.31021,0
"199","Tsunami Dog 500 mg Cartridge","MMTSD201110","Concentrate","Cartridge","Tsunami Dog","CBD",37.615,6.784,NA,477.029,269.74,8.643,0.727,6.903,10.393,17.33,5.094,43.5646,713.591,0.3249,0.005027,0.51975,0.0893,0.0112,0.00718,NA,NA,0.00532,0.0148,0.124,NA,0.1308,0.01099,0.00606,0.0152,0.00953,0.0063,NA,0.02427,0.203,0.0117,0.01183,0.0129,1.21631,0.00716,0.1736,0.44146,840.258,3.382587
"200","Tsunami dog Cartridges","MMBKD109628","Concentrate","Cartridge","","",45.727,7.367,NA,450.094,280.923,9.001,0.661,6.143,10.703,19.303,7.011,52.1879,696.463,0.277,0.00284,0.411,0.111,0.0101,0.00377,NA,NA,NA,0.0105,0.109,NA,0.107,0.0101,0.00603,0.0104,NA,NA,NA,NA,0.161,0.0113,0.00782,0.00381,0.98,0.00697,0.122,0.425,836.933,2.78664
"201","Vanilla Frosting THC Tincture 30 mL (Briceland)","BLVNF201005-TNT","Edible","Tincture","VANILLA FROSTING","Indica",24.343,2.101,NA,NA,NA,NA,0.537,NA,NA,NA,NA,26.1856,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.981,0
"202","XJ-13 1 g Cartridge","LSXJ190826","Concentrate","Cartridge","XJ-13","Sativa",770.738,32.811,NA,3.01,0.757,NA,3.216,23.748,5.14,3.216,12.3,799.513,3.67389,2.91,NA,0.0967,0.0273,0.00661,0.00848,NA,NA,NA,0.0423,0.731,NA,0.00815,NA,0.00561,0.11,NA,0.0422,NA,NA,0.161,0.0163,0.075,0.00211,0.236,NA,0.444,1.44,854.936,6.36276
"203","XJ-13 Pod","LSXJ190826-U","Concentrate","Cartridge","","",712.502,30.406,NA,2.553,NA,NA,3.792,21.292,4.482,2.861,12.799,739.168,2.553,2.88,NA,0.0881,0.0326,0.00553,0.011,NA,NA,NA,0.0417,0.731,NA,0.0103,NA,NA,0.108,NA,0.0367,NA,NA,0.16,NA,0.0767,0.00252,0.215,NA,0.551,1.74,790.687,6.69015
"204","XJ-13 Terpenes","PL 440","Concentrate","Terpene","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.7,NA,1.67,2.55,0.0339,0.179,NA,NA,0.0131,0.749,14.3,NA,0.417,NA,NA,0.0127,NA,0.89,NA,NA,1.49,0.386,0.0125,0.431,3.62,0.209,2.63,10.8,0,74.0932
"205","XJ-13 Uno Pod Vape Cartridge","LSXJ190826","Concentrate","Cartridge","","",664.043,34.036,NA,2.617,1.174,NA,2.782,22.003,5.318,4.255,12.92,693.893,3.6466,3.28,NA,0.105,0.0428,0.00875,0.0146,NA,NA,NA,0.0534,0.885,NA,0.0136,NA,NA,0.135,NA,0.0527,NA,NA,0.198,NA,0.0935,0.00335,0.277,NA,0.502,1.71,749.148,7.3747
"206","Cherry Cheesecake FSO","CHM-SHFCC211213-FSO","Concentrate","Other","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"207","Cherry Cheesecake FSO","CHM-SHFCC211213-FSO","Concentrate","Other","","",462.47,377.956,NA,0.69442,1.56606,0.00229,3.5561,3.0985,4.72906,15.66264,8.62337,793.937,2.06785,0.117026063,NA,0.163083154,0.021733754,0.018983529,0.008583487,NA,NA,NA,0.01084313,0.059864621,NA,0.046330863,NA,0.129367561,0.007441574,NA,NA,NA,0.111735229,0.947368716,NA,0.00593232,0.002567265,0.565555568,NA,0.431054884,1.512139367,878.35844,4.159611085
"208","Cherry Pie FSO QC","CHM-TRNCHP210921-FSO","Concentrate","Other","","",602.37,118.054,NA,1.039,0.93,NA,11.728,9.314,7.918,6.506,6.725,705.903,1.85461,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,764.584,0
"209","Cherry Punch Live Resin FSO","CHM-CSCYP220309-FSO","Concentrate","Other","","",500.288,331.646,NA,0.659,1.015,NA,1.627,5.917,4.132,9.202,3.484,791.142,0.890155,0.016385687,0.010129817,0.089415572,0.022797343,0.014577968,0.001759437,NA,NA,0.022697815,0.002321762,0.025627299,0.01228806,0.087420765,NA,0.740347991,0.001514615,0.007603004,NA,NA,0.041842675,0.422879435,NA,0.002144546,0.104263581,0.160273695,0.010905821,0.822122251,2.57221601,857.97,5.191535149
"210","CHM-13KT2 BOK-QC1","CHM-13KT2 BOK-QC1","Concentrate","Cartridge","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"211","CHM-13KT2 BOK-QC2","CHM-13KT2 BOK-QC2","Concentrate","Cartridge","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"212","CHM-13KT2 BOK-QC3","CHM-13KT2 BOK-QC3","Concentrate","Cartridge","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"213","CHM-13KT2 BOK-QC4","CHM-13KT2 BOK-QC4","Concentrate","Cartridge","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"214","CHM-ALPCYB-FATS","PL 421 FATS","Other","Other","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"215","CHM-ALPCYB190613-FSO-QC","PL 421","Concentrate","Other","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0999,NA,0.0163,NA,0.00219,0.0082,NA,NA,0.00507,0.0095,0.0585,NA,0.0144,NA,0.147,0.00757,NA,0.00297,NA,0.0116,0.112,0.00225,0.00509,0.00246,0.183,0.0257,0.917,2.64,0,4.2707
"216","CHM-ALPTRI190903-FSOA-QC1","CHM-ALPTRI190903-FSOA-QC1","Concentrate","Other","","",144.808,61.394,NA,291.953,314.342,NA,NA,8.079,10.62,26.734,11.009,198.651,567.631,0.619,NA,0.0925,0.0036,0.00829,NA,NA,NA,NA,0.0177,0.217,NA,0.00982,NA,0.00309,0.0334,NA,NA,NA,NA,0.589,NA,0.012,NA,0.543,NA,0.497,1.53,868.939,4.1754
"217","CHM-ALPTRI190903-FSOA-QC2","ALP Trident finished oil","Concentrate","Other","","",155.421,54.071,NA,308.929,287.027,1.032,0.882,8.092,10.665,27.251,10.406,202.841,560.652,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,863.776,0
"218","CHM-ALPTRI190903-FSOA-QC3","ALP trident unifused oil","Concentrate","Other","","",167.704,40.998,NA,338.338,260.223,1.153,0.813,8.564,11.367,25.234,9.335,203.659,566.554,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,863.729,0
"219","CHM-ALPTRI190903-FSOA QC4","Trident final QC4","Concentrate","Other","","",174.826,37.285,NA,354.674,250.961,1.552,2.129,9.406,11.76,25.213,1.907,207.525,574.767,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,869.713,0
"220","CHM-ARVPR-QC","CHM-ARVPR-QC","Concentrate","Cartridge","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"221","CHM-BBCDL181212-FSC","PL 393","Concentrate","Crystalline","","",143.2,705.2,NA,NA,2.1,NA,1.4,1.1,1.2,13.7,17.7,761.66,1.8417,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,885.6,0
"222","CHM-BBCDL181212-FSC-02","PL 393 CHM-BBCDL-FSC-02","Concentrate","Crystalline","","",106.2,782.2,NA,0.9,1.4,NA,1,0.8,NA,9.5,11.5,792.189,2.1278,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,913.5,0
"223","CHM-BFMH190227-FSC-M1","PL 394 BF MH M1 CRUDE","Concentrate","Other","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"224","CHM-BFMH190227-FSC-M2","PL 394 BF MH M2 CRUDE","Concentrate","Other","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"225","CHM-BFMH190227-FSC-R1E","PL 394 BF MH R1E CRUDE","Concentrate","Other","","",134.7,431.9,NA,NA,1.3,NA,2.4,3.6,NA,10.5,22,513.476,1.1401,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,606.4,0
"226","CHM-BFMH190227-FSC-R1W","PL 394 BF MH R1W CRUDE","Concentrate","Other","","",87.3,293.8,NA,NA,1.4,NA,2.3,2.8,1.5,15.4,14.9,344.963,1.2278,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,419.4,0
"227","CHM-BFMH190227-FSC-R2E","PL 394 BF MH R2E CRUDE","Concentrate","Other","","",96.2,399.7,NA,NA,1.9,NA,2,3.4,1.9,8.3,19.8,446.737,1.6663,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,533.2,0
"228","CHM-BFMH190227-FSC-R2W","PL 394 BF MH R2W CRUDE","Concentrate","Other","","",73.6,322.6,NA,NA,1.5,1.2,1.7,2.6,NA,12.4,12.8,356.52,1.3155,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,428.4,0
"229","CHM-BFMH190227-FSC-RAF1D","PL 394 BF MH RAF DELTA","Plant","Leaf/Trim","","",1.9,4.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.7588,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.3,0
"230","CHM-BFMH190227-FSC-RAF2C","PL 394 BF MH RAF COLUMN","Plant","Leaf/Trim","","",2.2,4.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.4096,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,0
"231","CHM-BFMH190227-FSO","PL 394","Concentrate","Other","","",739.7,NA,NA,3.3,NA,NA,14.3,10,10,NA,NA,739.7,3.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,777.3,0
"232","CHM-BFPMR190205-FSO","PL 410 BF PMR FSO QC TESTS","Concentrate","Other","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"233","CHM-CFANC191105-FSO QC1","CHM-CFANC191105-FSO","Concentrate","Other","","",698.096,91.43,NA,1.329,0.553,NA,8.7,0.939,3.16,NA,1.915,778.28,1.81398,0.0071,NA,0.127,0.00352,0.0118,0.00169,NA,NA,NA,0.00281,0.00762,NA,NA,NA,NA,0.00256,NA,NA,NA,NA,0.39,NA,0.00254,NA,0.443,NA,0.805,2.56,806.122,4.36464
"234","CHM-CFANC191105-FSO QC2","Animal cookies repurge","Concentrate","Other","","",711.544,39.314,NA,1.636,0.994,NA,11.43,1.672,3.805,3.629,1.748,746.022,2.50774,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,775.772,0
"235","CHM-CFANC191105-FSO QC3","animal cookies final qc3","Concentrate","Other","","",698.356,30.643,NA,1.704,0.609,NA,12.024,1.685,3.635,4.782,1.46,725.23,2.23809,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,754.898,0
"236","CHM-CFBLC181203-FSC","PL 387","Concentrate","Crystalline","","",140.4,673.2,NA,NA,2.8,NA,1.4,NA,1.8,22.7,6.1,730.796,2.4556,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,848.4,0
"237","CHM-CFCMS191001-FSC","PL 449","Concentrate","Crystalline","","",37.607,817.177,NA,NA,2.051,NA,NA,0.711,NA,14.521,4.382,754.271,1.79873,0.00573,NA,0.0185,0.0222,0.00559,0.00413,NA,NA,NA,0.00402,0.00581,NA,0.00774,NA,NA,NA,NA,NA,NA,NA,0.444,NA,0.00172,NA,0.301,NA,1.57,3.27,876.449,5.66044
"238","CHM-CFCMS191001-FSC CENTRI","","Concentrate","Crystalline","","",14.965,970.968,NA,NA,0.498,NA,NA,0.486,0.528,4.695,1.202,866.504,0.436746,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00252,NA,NA,NA,NA,NA,0.0039,NA,NA,NA,0.00165,0.00573,0.33,0.622,993.342,0.9658
"239","CHM-CFCMS191001-FSC QC2","CMS","Concentrate","Crystalline","","",43.267,846.899,NA,NA,1.906,NA,NA,0.898,0.894,16.282,4.531,785.997,1.67156,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,914.677,0
"240","CHM-CFDOC191112-FSO-QC","DOC","Concentrate","Other","","",676.598,92.042,NA,1.178,0.902,NA,3.344,4.699,4.176,5.711,4.455,757.319,1.96905,0.00632,NA,0.0765,NA,0.00617,NA,NA,NA,NA,0.00203,0.00344,NA,0.0211,NA,0.00257,0.00206,NA,NA,NA,NA,0.264,NA,0.00202,NA,0.263,NA,0.452,1.49,793.105,2.59121
"241","CHM-CFDOC191112-FSO-QC2","DOC FSO Purge","Concentrate","Other","","Indica",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"242","CHM-CFDOC191112-FSO QC2","Doc OG QC2","Concentrate","Other","","",719.095,69.587,NA,1.258,0.779,NA,3.837,5.247,4.443,5.778,4.062,780.123,1.94118,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,814.086,0
"243","CHM-CFDOC191112-FSO QC3","Doc OG QC3","Concentrate","Other","","",733.534,35.196,NA,1.542,0.629,NA,4.75,5.537,4.617,4.299,3.293,764.401,2.09363,0.00672,NA,0.0716,NA,0.00601,NA,NA,NA,NA,0.00206,0.00321,NA,NA,NA,0.002,0.00212,NA,NA,NA,NA,0.307,NA,0.00207,NA,0.277,NA,0.498,1.72,793.397,2.89779
"244","CHM-CFDOC191112-FSO QC4","Doc OG final QC4","Concentrate","Other","","",732.158,28.529,NA,1.783,0.581,NA,6.106,6.215,5.035,6.394,3.276,757.178,2.29254,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,790.077,0
"245","CHM-CFDSG191104-FSO","CHM-CFDSG191104-FSO","Concentrate","Other","","",651.851,41.068,NA,1.773,NA,NA,17.54,7.935,4.262,NA,4.542,687.868,1.773,0.00922,NA,0.355,0.0168,0.024,0.00188,NA,NA,NA,0.00656,0.0186,NA,0.0167,NA,0.0036,0.00324,NA,NA,NA,NA,0.899,NA,0.00223,NA,1.42,NA,0.731,1.86,728.971,5.36783
"246","CHM-CFDSG191104-FSO QC2","Dosi Glue QC2","Concentrate","Other","","",581.543,14.265,NA,1.731,0.508,NA,31.161,7.742,4.015,1.496,2.795,594.053,2.17652,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,645.256,0
"247","CHM-CFW3D181204-FSC","PL 388","Concentrate","Crystalline","","",230.6,598.7,NA,NA,1.9,NA,2.1,1,1,11.3,5.5,755.66,1.6663,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,852.1,0
"248","CHM-E2-QC","CHM-E2-QC","Concentrate","Cartridge","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"249","CHM-EDEN BOK-QC1","CHM-EDEN BOK-QC1","Concentrate","Cartridge","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"250","CHM-EDEN BOK-QC2","CHM-EDEN BOK-QC2","Concentrate","Cartridge","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"251","CHM-EDEN PNW-QC","CHM-EDEN PNW-QC","Concentrate","Cartridge","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"252","CHM-EDEN PNW-QC1","CHM-EDEN PNW-QC1","Concentrate","Cartridge","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"253","CHM-EDEN PNW-QC2","CHM-EDEN PNW-QC2","Concentrate","Cartridge","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"254","CHM-EDEN PNW - QC3","CHM-EDEN PNW - QC3","Concentrate","Cartridge","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"255","CHM-EMSHBC200520-FSO QC1","Hibiscus purge","Concentrate","Other","","",544.14,338.273,NA,1.178,1.411,NA,6.575,4.095,4.145,9.336,5.593,840.805,2.41545,0.543,NA,0.206,0.0214,0.0143,0.0081,NA,NA,NA,0.0108,0.0635,NA,0.0086,NA,0.0015,0.027,NA,NA,NA,0.0036,0.599,0.0128,0.0321,NA,0.625,NA,0.121,0.532,914.746,2.8297
"256","CHM-ESHBC191119-FSO QC1","Hibiscus Finished Oil","Concentrate","Other","","",661.86,108.206,NA,1.676,1.039,NA,4.008,1.391,2.947,6.459,2.246,756.757,2.5872,0.0511,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00158,NA,NA,NA,NA,0.00613,NA,0.00183,NA,NA,NA,0.217,0.983,789.832,1.26064
"257","CHM-ESLIJ190619-FSO-SFREXP","PL 418 Sulfur Experiment","Concentrate","Other","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"258","CHM-ESMHD190521-FSO-QC","PL 419","Concentrate","Other","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"259","CHM-ESMHD190521-FSO-SFREXP","PL 419 Sulfur Experiment","Concentrate","Other","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"260","CHM-FKES190508-FSOA-QC","PL 384","Concentrate","Other","","",234.257,67.156,NA,239.951,248.373,1.314,7.697,5.193,6.17,14.81,11.176,293.153,457.774,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,836.097,0
"261","CHM-FRFMHZ191009-FSOA-QC","MHZ","Concentrate","Other","","",168.303,117.867,NA,228.029,390.206,NA,1.683,NA,8.139,NA,5.593,271.672,570.24,0.0127,NA,0.0712,0.00979,0.0074,0.00296,NA,NA,NA,0.00624,NA,NA,0.0162,NA,0.00234,0.00372,NA,NA,NA,0.00164,0.669,NA,0.0035,NA,0.994,NA,0.457,1.38,919.82,3.63769
"262","CHM-FRFMHZ191009-FSOA-QC","PL 448 Purge QC-01","Concentrate","Other","","",140.699,126.343,NA,181.851,340.174,NA,1.466,4.934,7.226,19.445,7.217,251.502,480.184,0.0179,NA,0.0744,0.00853,0.0112,0.00425,NA,NA,NA,0.00881,NA,NA,0.0364,0.00177,0.00393,0.00491,NA,NA,NA,0.00206,0.75,NA,0.00493,NA,1.11,NA,0.463,1.49,829.355,3.99209
"263","CHM-HKRNG190516-FSOA-QC","PL 415","Concentrate","Other","","",25.8,8.2,NA,462.9,325.1,NA,NA,0.6,6.2,16.2,NA,32.9914,748.013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,845,0
"264","CHM-HRLNP191017-FSO QC5","Lion's Paw","Concentrate","Other","","",744.408,12.658,NA,3.09,0.441,NA,7.504,3.475,NA,NA,1.974,755.509,3.47676,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,773.55,0
